what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411627372194
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1411627381985
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1411627382362
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411627390184
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411627392968
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411627403323
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411627419440
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411627421515
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411627427601
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411627444046
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411627447750
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411627454951
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411627462739
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411627463621
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411627472147
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411627475211
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411627476707
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411627483998
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411627490219
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411627493239
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411627496019
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411627917794
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411627920491
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411627926306
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411627930736
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411627931707
